zone,state,lga,sector,ea,hhid,interviewer_id,wt_round5,wt_r5panel,s2q0a,s2q0b,filter1,s5cq1,s5cq2__1,s5cq2__2,s5cq2__14,s5cq2__3,s5cq2__4,s5cq2__5,s5cq2__6,s5cq2__7,s5cq2__8,s5cq2__9,s5cq2__10,s5cq2__11,s5cq2__12,s5cq2__13,s5cq2__96,s5cq2_os,s5cq3,s5cq4__1,s5cq4__2,s5cq4__3,s5cq4__4,s5cq4__5,s5cq4__6,s5cq4__7,s5cq4__8,s5cq4__9,s5cq4__10,s5cq4__11,s5cq4__99,s5cq4__98,s5cq5,filter2,s5cq6,s5cq7__1,s5cq7__2,s5cq7__3,s5cq7__4,s5cq7__5,s5cq7__6,s5cq7__7,s5cq7__96,s5cq7_os,s5cq8,s5cq9__1,s5cq9__2,s5cq9__3,s5cq9__4,s5cq9__5,s5cq9__6,s5cq9__7,emp_case,emp_respondent,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q8b1,s6q8c1,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,crop_filter1,s6q16,s6aq9,s6aq12,s6aq10,crop_filter2,s6aq11,livest_filter3,s6bq1,s6bq6a,s6bq6,livest_filter4,s6bq7,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
1. North Central,26. Niger,2608. GBAKO,2. Rural,786,269035,23,27222.72492975109,30990.744436491907,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,0,0,0,1,1,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",6,16,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,1. YES,,3. The same,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,4. Lower,0,1,0,1,0,1,0,0,0,0,1,1,1. COMPLETE,1,2. PIDGIN,,1. YES,0,2020-09-11T22:00:33
1. North Central,26. Niger,2609. GURARA,2. Rural,204,269038,12,13110.199382053832,,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",36,998. DON'T KNOW,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,2. Higher,2. NO,,1. YES,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-10T14:02:05
1. North Central,26. Niger,2609. GURARA,2. Rural,204,269042,12,11798.613203455561,12560.6634179634,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,8,20,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,1. Much higher,2. NO,,2. NO,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,3. HAUSA,,1. YES,0,2020-09-08T12:33:43
1. North Central,26. Niger,2609. GURARA,2. Rural,204,269046,23,14200.326454577791,13680.324708839327,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,1. YES,0,0,0,0,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,2. NO,96. OTHER (SPECIFY),LACK OF MONEY TO BUY CHEMICAL,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",32,30,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,1. YES,,2. Higher,1. YES,,1. YES,3. The same,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,0,1,1,0,0,0,0,0,0,0,1,0,1. COMPLETE,1,2. PIDGIN,,1. YES,0,2020-09-08T16:12:16
1. North Central,26. Niger,2615. MARIGA,2. Rural,556,269050,12,19179.194513691735,21241.93993403827,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,1. YES,1,0,0,1,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,24,24,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,2. Higher,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,2. Higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-08T16:34:01
1. North Central,26. Niger,2615. MARIGA,2. Rural,556,269052,1,20742.526676166694,23714.42443376763,1. YES,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,39,30,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,2. Higher,1. YES,,1. YES,1. Much higher,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,5,2020-09-14T19:18:00
1. North Central,26. Niger,2615. MARIGA,2. Rural,556,269053,21,17096.622867753,18174.73033491187,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,1. YES,0,0,0,0,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,14,14,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,,1. Much higher,1. YES,,1. YES,1. Much higher,1. YES,,1. YES,,1. YES,2. Higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-09T10:54:05
1. North Central,26. Niger,2615. MARIGA,2. Rural,556,269056,13,15377.294407506468,17615.274735007275,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",9,9,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,1. Much higher,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,1. Much higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-07T13:10:55
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269074,13,7717.864477783053,8471.335198763793,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,0,0,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,84,84,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-09-10T07:11:16
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269075,23,6304.864914620213,7154.690124167592,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,48,30,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,1. YES,,4. Lower,2. NO,,1. YES,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,0,0,0,0,0,0,1,1,0,1,0,1,1. COMPLETE,1,1. ENGLISH,,,0,2020-09-16T12:42:09
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269076,16,9764.194415176784,,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,60,60,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,2. PIDGIN,,2. NO,0,2020-09-11T16:20:13
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269082,23,6633.581103051419,7034.38343013926,2. NO,1. YES,1. YES,2. NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SCHOOL ON STRIKE,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,,4. As an employee for a private company or another individual (not household member),,77,77,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-09-16T07:30:12
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269083,12,7026.465905242583,7688.081439595288,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,1,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,4,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",2. In a non-farm business operated by a household member,,105,105,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,4,3. HAUSA,,1. YES,0,2020-09-16T14:46:58
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269084,23,6424.117653728694,6997.873884515843,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,0,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,36,30,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,2. Higher,2. NO,,2. NO,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,0,1,0,1,0,0,0,1,0,1,1,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-09-07T13:45:40
1. North Central,26. Niger,2620. RAFI,2. Rural,590,269089,12,5434.863620365223,6003.152706292136,2. NO,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",40,40,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,1. YES,,4. Lower,1. YES,,1. YES,2. Higher,1. YES,,2. NO,,1. YES,,0,0,0,0,0,0,1,1,0,1,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-11T08:08:31
1. North Central,26. Niger,2602. AGWARA,2. Rural,118,269106,13,23259.265372760765,24334.936016226606,2. NO,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,0,0,0,0,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,2. WITHIN ONE MONTH,8. SEASONAL WORKER,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,1. YES,2. Temporarily closed,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,1. YES,Selling of grains,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,5. Much lower,2. NO,,2. NO,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-13T09:19:59
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270001,8,4227.406502499159,4475.882519718777,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,1,1,1,0,0,,1. YES,1,0,1,1,1,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,48,48,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,1. YES,1. YES,97. NEW TO LIVESTOCK FARMING,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-09-09T07:11:56
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270003,5,3721.3366787257132,3867.8521066130793,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,1,1,1,0,0,,1. YES,0,0,0,1,0,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,65,65,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,4. NOT APPLICABLE,,1. YES,,2. NO,,2. NO,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,4. YORUBA,,1. YES,0,2020-09-17T09:32:18
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270004,8,4001.1895576102925,4472.5978254837255,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,63,63,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,98. DON'T KNOW,1. YES,,1. YES,98. DON'T KNOW,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-09-11T21:45:16
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270005,8,6562.260848570451,5147.983502285168,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,0,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,60,60,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,4. YORUBA,,2. NO,0,2020-09-12T07:53:57
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270006,22,3345.372386136606,2838.9046175455414,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,0,0,0,0,1,0,,1. YES,0,0,0,1,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,98,98,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-09-13T12:38:48
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270010,22,5950.117771011748,4795.6305303508025,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,0,0,0,1,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,4,10,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,1. YES,1. Open,,,,SELLING OF TAILORING MATERIALS,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,2. Higher,1. YES,,1. YES,5. Much lower,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,0,1,1,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-09-08T19:20:55
6. South West,27. Ogun,2715. OBAFEMI-OWODE,1. Urban,0,270029,8,39581.331468438075,40542.08196386719,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",25,25,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,4. CAN'T GET INPUTS,,2. NO,,,,,,2. NO,,,,,4. NOT APPLICABLE,,1. YES,,1. YES,,2. NO,,1,0,0,0,0,0,0,0,0,1,1,1,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-09-07T15:55:26
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270041,5,4113.913078405762,5036.032587144934,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,3,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,20,24,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,4. YORUBA,,1. YES,0,2020-09-12T15:02:25
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270042,5,5855.790955170921,7570.3078106827625,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,0,1,1,0,0,,1. YES,0,0,0,1,0,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,7,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",1. Only for sale,42,42,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,,4. Lower,1. YES,,1. YES,4. Lower,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,7,4. YORUBA,,1. YES,0,2020-09-07T12:50:28
6. South West,27. Ogun,2714. IPOKIA,1. Urban,0,270046,14,5021.192350104303,6291.498918588795,1. YES,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,1,0,0,0,,1. YES,0,1,0,1,0,0,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,302,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,4. No revenue from sales currently,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,302,4. YORUBA,,2. NO,0,2020-09-09T19:33:09
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,22,10667.436493531477,13188.236459656704,1. YES,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,0,1,1,1,1,0,,1. YES,1,0,0,1,0,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",36,60,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,1. YES,Grinding of pepper usin engine,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,1. YES,,1. Much higher,1. YES,,1. YES,1. Much higher,1. YES,,1. YES,,1. YES,1. Much higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-09-13T21:59:37
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270053,5,2770.9889373976484,2332.8580756543997,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,1,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,6,18,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-09-11T14:02:37
