zone,state,lga,sector,ea,hhid,indiv,s2q2,s2q3,s2q4,s2q4_os,s2q5,s2q6,s2q7a,s2q7,s2q7_os,s2q8,s2q8_os,s2q9,s2q9_os
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249222,101,2. NO,1. YES,,,1. MALE,20,1. YES,7. BROTHER/SISTER,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249223,1,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249223,2,2. NO,1. YES,,,2. FEMALE,39,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249223,3,2. NO,1. YES,,,2. FEMALE,16,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249223,4,2. NO,1. YES,,,2. FEMALE,14,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249223,5,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249223,6,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249225,1,2. NO,1. YES,,,1. MALE,43,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249225,2,2. NO,1. YES,,,1. MALE,43,1. YES,7. BROTHER/SISTER,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249225,3,2. NO,1. YES,,,1. MALE,36,1. YES,7. BROTHER/SISTER,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249226,1,2. NO,1. YES,,,1. MALE,42,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249226,2,2. NO,1. YES,,,2. FEMALE,37,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249226,3,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249226,4,2. NO,1. YES,,,2. FEMALE,7,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249226,5,2. NO,1. YES,,,2. FEMALE,4,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,300,249226,6,2. NO,1. YES,,,2. FEMALE,1,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249235,1,2. NO,1. YES,,,1. MALE,50,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249235,2,2. NO,1. YES,,,2. FEMALE,43,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249235,3,2. NO,1. YES,,,1. MALE,14,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249235,4,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249235,5,2. NO,1. YES,,,1. MALE,8,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249235,6,2. NO,1. YES,,,1. MALE,23,1. YES,9. BROTHER/SISTER-IN-LAW,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249236,1,2. NO,1. YES,,,1. MALE,55,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249236,2,2. NO,1. YES,,,2. FEMALE,50,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249236,3,2. NO,1. YES,,,2. FEMALE,22,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249236,4,2. NO,1. YES,,,1. MALE,21,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249236,5,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249237,1,2. NO,1. YES,,,1. MALE,27,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249237,301,2. NO,1. YES,,,1. MALE,27,1. YES,8. NIECE/NEPHEW,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249239,1,2. NO,1. YES,,,2. FEMALE,67,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249239,2,2. NO,1. YES,,,2. FEMALE,39,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249239,3,2. NO,1. YES,,,1. MALE,14,1. YES,6. GRANDCHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249239,4,2. NO,1. YES,,,2. FEMALE,10,1. YES,6. GRANDCHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249239,5,2. NO,1. YES,,,1. MALE,6,1. YES,6. GRANDCHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249239,101,2. NO,1. YES,,,1. MALE,32,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249240,1,2. NO,1. YES,,,1. MALE,43,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249240,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249240,3,2. NO,1. YES,,,2. FEMALE,8,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249240,4,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,1580,249240,5,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2401. AGEGE,1. Urban,396,249242,1,2. NO,1. YES,,,2. FEMALE,57,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2401. AGEGE,1. Urban,396,249242,2,2. NO,1. YES,,,2. FEMALE,4,1. YES,6. GRANDCHILD,,,,,
6. South West,24. Lagos,2401. AGEGE,1. Urban,396,249242,3,2. NO,1. YES,,,1. MALE,3,1. YES,6. GRANDCHILD,,,,,
6. South West,24. Lagos,2401. AGEGE,1. Urban,884,249243,1,2. NO,1. YES,,,1. MALE,37,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2401. AGEGE,1. Urban,884,249243,2,2. NO,1. YES,,,2. FEMALE,32,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2401. AGEGE,1. Urban,884,249243,3,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2401. AGEGE,1. Urban,884,249243,4,2. NO,1. YES,,,2. FEMALE,4,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2401. AGEGE,1. Urban,884,249243,5,2. NO,1. YES,,,1. MALE,22,1. YES,9. BROTHER/SISTER-IN-LAW,,,,,
6. South West,24. Lagos,2401. AGEGE,1. Urban,884,249243,6,2. NO,1. YES,,,2. FEMALE,1,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2403. ALIMOSHO,1. Urban,1444,249247,1,2. NO,1. YES,,,1. MALE,54,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2403. ALIMOSHO,1. Urban,1444,249247,2,2. NO,1. YES,,,2. FEMALE,42,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2403. ALIMOSHO,1. Urban,1444,249247,3,2. NO,1. YES,,,2. FEMALE,13,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2403. ALIMOSHO,1. Urban,1444,249247,4,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2404. AMUWO-ODOFIN,1. Urban,1342,249250,1,2. NO,1. YES,,,1. MALE,36,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2404. AMUWO-ODOFIN,1. Urban,1342,249250,2,2. NO,1. YES,,,2. FEMALE,29,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2404. AMUWO-ODOFIN,1. Urban,1342,249250,3,2. NO,1. YES,,,2. FEMALE,3,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2404. AMUWO-ODOFIN,1. Urban,1342,249250,101,2. NO,1. YES,,,2. FEMALE,0,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2410. IFAKO-IJAYE,1. Urban,0,249258,1,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2410. IFAKO-IJAYE,1. Urban,0,249258,101,2. NO,1. YES,,,2. FEMALE,40,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2410. IFAKO-IJAYE,1. Urban,0,249258,102,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2410. IFAKO-IJAYE,1. Urban,0,249258,103,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2416. MUSHIN,1. Urban,2028,249264,1,2. NO,1. YES,,,2. FEMALE,63,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2416. MUSHIN,1. Urban,2028,249264,2,2. NO,1. YES,,,1. MALE,29,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2416. MUSHIN,1. Urban,2028,249264,3,2. NO,1. YES,,,2. FEMALE,31,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2416. MUSHIN,1. Urban,2028,249264,101,2. NO,1. YES,,,2. FEMALE,9,1. YES,6. GRANDCHILD,,,,,
6. South West,24. Lagos,2418. OSHODI/ISOLO,1. Urban,1090,249267,1,2. NO,1. YES,,,1. MALE,82,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2418. OSHODI/ISOLO,1. Urban,1090,249267,2,2. NO,1. YES,,,2. FEMALE,76,1. YES,2. SPOUSE,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250014,2,2. NO,1. YES,,,2. FEMALE,49,1. YES,1. HEAD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250014,3,2. NO,1. YES,,,2. FEMALE,27,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250014,5,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250014,6,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250015,1,2. NO,1. YES,,,1. MALE,51,1. YES,1. HEAD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250015,2,2. NO,1. YES,,,2. FEMALE,45,1. YES,2. SPOUSE,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250015,3,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250015,4,2. NO,1. YES,,,1. MALE,16,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250015,5,2. NO,1. YES,,,1. MALE,14,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250015,6,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250015,7,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250019,1,2. NO,1. YES,,,1. MALE,54,1. YES,1. HEAD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250019,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,2. SPOUSE,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250019,3,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250019,4,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250019,5,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250019,6,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250019,7,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2504. KARU,2. Rural,222,250019,8,2. NO,1. YES,,,2. FEMALE,73,1. YES,10. PARENT,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,1,2. NO,1. YES,,,1. MALE,41,1. YES,1. HEAD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,2,2. NO,1. YES,,,2. FEMALE,31,1. YES,2. SPOUSE,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,3,2. NO,1. YES,,,2. FEMALE,37,1. YES,2. SPOUSE,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,4,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,5,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,6,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,7,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,8,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,9,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,10,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,11,2. NO,1. YES,,,1. MALE,14,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,12,2. NO,1. YES,,,2. FEMALE,4,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,13,2. NO,1. YES,,,2. FEMALE,5,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,101,2. NO,1. YES,,,1. MALE,50,1. YES,7. BROTHER/SISTER,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,102,2. NO,1. YES,,,2. FEMALE,8,1. YES,7. BROTHER/SISTER,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,103,2. NO,1. YES,,,2. FEMALE,5,1. YES,8. NIECE/NEPHEW,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259001,104,2. NO,1. YES,,,2. FEMALE,8,1. YES,8. NIECE/NEPHEW,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259002,1,2. NO,1. YES,,,1. MALE,39,1. YES,1. HEAD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259002,2,2. NO,1. YES,,,2. FEMALE,26,1. YES,2. SPOUSE,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259002,3,2. NO,1. YES,,,1. MALE,8,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259002,4,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259002,5,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259002,6,2. NO,1. YES,,,2. FEMALE,21,1. YES,2. SPOUSE,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259002,7,2. NO,1. YES,,,1. MALE,4,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259002,8,2. NO,1. YES,,,1. MALE,1,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259003,1,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259003,2,2. NO,1. YES,,,2. FEMALE,41,1. YES,2. SPOUSE,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259003,3,2. NO,1. YES,,,1. MALE,18,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259003,4,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259003,5,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259003,6,2. NO,1. YES,,,2. FEMALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259003,7,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
1. North Central,25. Nasarawa,2503. DOMA,2. Rural,1350,259003,8,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,1,2. NO,1. YES,,,1. MALE,61,1. YES,1. HEAD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,2,2. NO,1. YES,,,2. FEMALE,46,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,3,2. NO,1. YES,,,1. MALE,21,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,4,2. NO,1. YES,,,1. MALE,19,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,6,2. NO,1. YES,,,2. FEMALE,12,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,7,2. NO,1. YES,,,2. FEMALE,33,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,8,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,9,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,10,2. NO,1. YES,,,2. FEMALE,29,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,11,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,12,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,101,2. NO,1. YES,,,1. MALE,1,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,102,2. NO,1. YES,,,2. FEMALE,1,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,103,2. NO,1. YES,,,1. MALE,0,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,201,2. NO,1. YES,,,1. MALE,0,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,401,1. YES,,,,1. MALE,0,1. YES,6. GRANDCHILD,,1. NEW BORN,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260057,402,1. YES,,,,2. FEMALE,0,1. YES,6. GRANDCHILD,,1. NEW BORN,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260060,1,2. NO,1. YES,,,1. MALE,35,1. YES,1. HEAD,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260060,2,2. NO,1. YES,,,2. FEMALE,24,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2615. MARIGA,2. Rural,2196,260060,401,1. YES,,,,1. MALE,0,1. YES,3. OWN CHILD,,1. NEW BORN,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260082,1,2. NO,1. YES,,,1. MALE,57,1. YES,1. HEAD,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260082,3,2. NO,1. YES,,,2. FEMALE,41,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260085,1,2. NO,1. YES,,,1. MALE,29,1. YES,1. HEAD,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260085,2,2. NO,1. YES,,,2. FEMALE,26,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260085,3,2. NO,1. YES,,,2. FEMALE,13,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260089,1,2. NO,1. YES,,,1. MALE,53,1. YES,1. HEAD,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260089,2,2. NO,1. YES,,,2. FEMALE,35,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260089,4,2. NO,1. YES,,,2. FEMALE,14,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260089,5,2. NO,1. YES,,,2. FEMALE,8,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260089,101,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260089,102,2. NO,1. YES,,,1. MALE,4,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2611. KONTAGORA,2. Rural,424,260089,103,2. NO,1. YES,,,2. FEMALE,2,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260112,1,2. NO,1. YES,,,1. MALE,44,1. YES,1. HEAD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260112,3,2. NO,1. YES,,,2. FEMALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260112,4,2. NO,1. YES,,,1. MALE,21,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260112,6,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260112,7,2. NO,1. YES,,,2. FEMALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260112,8,2. NO,1. YES,,,2. FEMALE,27,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260112,101,2. NO,1. YES,,,1. MALE,9,1. YES,8. NIECE/NEPHEW,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260112,102,2. NO,1. YES,,,2. FEMALE,4,1. YES,8. NIECE/NEPHEW,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260112,103,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260114,1,2. NO,1. YES,,,1. MALE,45,1. YES,1. HEAD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260114,2,2. NO,1. YES,,,2. FEMALE,35,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260114,3,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260114,4,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260114,5,2. NO,1. YES,,,1. MALE,8,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260114,101,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260114,102,2. NO,1. YES,,,2. FEMALE,3,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,1,2. NO,1. YES,,,1. MALE,66,1. YES,1. HEAD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,2,2. NO,1. YES,,,2. FEMALE,45,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,3,2. NO,1. YES,,,2. FEMALE,25,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,4,2. NO,1. YES,,,2. FEMALE,20,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,5,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,6,2. NO,1. YES,,,1. MALE,14,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,7,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,8,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,9,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,10,2. NO,1. YES,,,2. FEMALE,24,1. YES,2. SPOUSE,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,101,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
1. North Central,26. Niger,2603. BIDA,1. Urban,658,260117,102,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
