zone,state,lga,sector,ea,hhid,interviewer_id,wt_baseline,s3q1,s3q2__1,s3q2__2,s3q2__3,s3q2__4,s3q2__5,s3q2__6,s3q2__7,s3q2__8,s3q2__9,s3q2__10,s3q3__1,s3q3__2,s3q3__3,s3q3__4,s3q3__5,s3q3__6,s3q3__7,s3q3__8,s3q3__9,s3q3__10,s3q3__96,s3q3__11,s3q3__98,s3q3_os,s3q4,s3q5__1,s3q5__2,s3q5__3,s3q5__4,s3q5__5,s3q5__6,s3q5__96,s3q5_os,s4q1,s4q2,s4q3,s4q4,s5q1a1,s5q1b1,s5q1c1__1,s5q1c1__2,s5q1c1__3,s5q1c1__4,s5q1c1__5,s5q1c1__6,s5q1a2,s5q1b2,s5q1c2__1,s5q1c2__2,s5q1c2__3,s5q1c2__4,s5q1c2__5,s5q1c2__6,s5q1a3,s5q1b3,s5q1c3__1,s5q1c3__2,s5q1c3__3,s5q1c3__4,s5q1c3__5,s5q1c3__6,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4a,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q6,s5q7__1,s5q7__2,s5q7__3,s5q7__4,s5q7__5,s5q7__6,s5q7__7,s5q8,s5q9,s5q10,s5q10_os,s6q1,s6q2,s6q3,s6q3_os,s6q4,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q11,s6q12,s6q13,s6q14,s6q14_os,s6q15,s6q16,s6q17__1,s6q17__2,s6q17__3,s6q17__4,s6q17__5,s6q17__6,s6q17__96,s6q17_os,s8q4,s8q6,s8q8,s9q1,s9q2,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q11,s12q14
6. South West,30. Oyo,3026. ONA-ARA,1. Urban,72,309105,5,49616.20951711502,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,0,0,0,1,0,0,1,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,1,0,1,1,1,1,1,0,,2. NO,,,,,,,,1. YES,2. NO,1. BANK/MONEY AGENT WAS CLOSED,,1. YES,,,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,2. NO,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,3. NO CUSTOMERS / LESS CUSTOMERS,,1. YES,1. YES,,,,,,,,,2. NO,2. NO,2. NO,3. Not too worried,1. A substantial threat,0,0,0,0,0,0,0,1,0,1,0,1,1. COMPLETE,1,4. YORUBA,,2,2020-05-11T11:00:01
6. South West,30. Oyo,3028. ORIRE,2. Rural,136,309112,14,3643.0988861795913,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,0,0,0,0,0,0,0,1,0,0,0,0,0,,2. NO,0,0,1,0,0,1,0,,2. NO,2. NO,2. NO,2. NO,2. NO,,,,,,,,1. YES,2. NO,0,0,0,1,0,0,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,1. YES,2,,,,,,2. NO,,,,,,1. YES,,,,,,,,,1. YES,2. NO,2. NO,4. Not worried at all,4. Not a threat at all,0,1,1,0,0,0,0,1,0,1,0,0,1. COMPLETE,1,4. YORUBA,,0,2020-05-08T17:07:05
6. South West,30. Oyo,3028. ORIRE,2. Rural,136,309113,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-10T20:55:24
6. South West,30. Oyo,3028. ORIRE,2. Rural,136,309115,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5. NOBODY ANSWERING,,,,,2020-04-24T09:18:21
6. South West,30. Oyo,3028. ORIRE,2. Rural,136,309116,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8. DON'T KNOW THE HOUSEHOLD,,,,,2020-05-04T10:55:04
6. South West,30. Oyo,3028. ORIRE,2. Rural,136,309117,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-04-24T12:12:57
6. South West,30. Oyo,3005. EGBEDA,1. Urban,3648,309121,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-10T18:15:57
6. South West,30. Oyo,3011. IBARAPA CENTRAL,2. Rural,306,309126,5,18433.3970902911,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,1,1,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,0,1,0,0,,1. YES,0,0,0,1,0,0,0,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,,,,2. NO,,,,,,,1. YES,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. No revenue from sales,3. NO CUSTOMERS / LESS CUSTOMERS,,1. YES,1. YES,,,,,,,,,1. YES,2. NO,2. NO,2. Somewhat worried,1. A substantial threat,0,1,1,1,1,1,0,1,1,0,0,0,1. COMPLETE,1,4. YORUBA,,0,2020-04-22T14:14:41
6. South West,30. Oyo,3026. ONA-ARA,1. Urban,72,309137,5,50400.224368086674,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,0,1,1,0,0,0,0,0,,2. NO,0,1,1,0,0,0,0,,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1. YES,0,0,0,0,0,1,0,0,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"7. PROFESSIONAL ACTIVITIES: FINANCE, LEGAL, ANALYSIS, COMPUTER, REAL ESTATE",,,,,,,2. NO,,,,,,,1. YES,"7. PROFESSIONAL ACTIVITIES: FINANCE, LEGAL, ANALYSIS, COMPUTER, REAL ESTATE",4. No revenue from sales,3. NO CUSTOMERS / LESS CUSTOMERS,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,4. Not worried at all,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,1. ENGLISH,,0,2020-04-21T10:00:01
6. South West,30. Oyo,3026. ONA-ARA,1. Urban,72,309138,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-10T21:32:31
1. North Central,31. Plateau,3109. LANTANG NORTH,2. Rural,1026,310071,16,18563.43458047659,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,2. NO,2. NO,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",2. The same,,,1. YES,2. NO,0,0,0,0,0,0,1,No rain,1. YES,1. YES,2. NO,2. Somewhat worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,0,2020-04-30T11:09:32
1. North Central,31. Plateau,3109. LANTANG NORTH,2. Rural,1026,310072,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9. REFERENCE PERSON CAN'T CONNECT TO HH,,,,,2020-04-28T09:01:45
1. North Central,31. Plateau,3109. LANTANG NORTH,2. Rural,1026,310074,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9. REFERENCE PERSON CAN'T CONNECT TO HH,,,,,2020-04-22T15:09:18
1. North Central,31. Plateau,3109. LANTANG NORTH,2. Rural,1026,310075,4,15715.310936990496,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,0,0,0,0,0,,2. NO,0,1,1,0,0,0,0,,1. YES,2. NO,1. YES,2. NO,2. NO,,,,,,,,1. YES,2. NO,0,1,0,0,0,0,1. YES,2. NO,0,1,0,0,0,0,1. YES,2. NO,0,0,0,0,1,1,1. YES,2. NO,0,0,0,0,1,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,1,0,0,0,0,0,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,2. NO,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. Higher,,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1,2020-04-29T22:11:13
1. North Central,31. Plateau,3109. LANTANG NORTH,2. Rural,1026,310076,12,10568.23495051895,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,0,0,0,0,0,0,0,0,0,,1. YES,,,,,,,,,2. NO,1. YES,1. YES,1. YES,2. NO,,,,,,,,1. YES,2. NO,0,0,0,1,0,0,1. YES,2. NO,0,0,0,1,0,0,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,1. YES,,,,,,,,,1. YES,2. NO,1. YES,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-05-06T13:36:20
1. North Central,31. Plateau,3109. LANTANG NORTH,2. Rural,1026,310078,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-11T14:22:24
1. North Central,31. Plateau,3109. LANTANG NORTH,2. Rural,1026,310079,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-06T21:47:15
1. North Central,31. Plateau,3109. LANTANG NORTH,2. Rural,1026,310080,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-06T21:49:47
1. North Central,31. Plateau,3112. MIKANG,2. Rural,350,310081,13,9547.399394055712,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,0,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,1,0,0,0,0,2. NO,,,,,,,,1. YES,2. NO,4. DUE TO MOVEMENT RESTRICTIONS,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,1. YES,2. NO,1. BANK/MONEY AGENT WAS CLOSED,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",2. The same,,,2. NO,,,,,,,,,,1. YES,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-04-29T12:21:38
1. North Central,31. Plateau,3112. MIKANG,2. Rural,350,310082,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-11T19:09:19
1. North Central,31. Plateau,3112. MIKANG,2. Rural,350,310084,3,10096.091388302184,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,2. NO,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,4. CONSTRUCTION,,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,2. Somewhat worried,1. A substantial threat,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-05-01T12:12:14
1. North Central,31. Plateau,3112. MIKANG,2. Rural,350,310085,4,21429.137534511246,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,0,0,0,0,0,,2. NO,0,1,1,1,0,0,0,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,1,1,0,0,0,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,4. CONSTRUCTION,,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,1. YES,4. Not worried at all,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-04-29T11:25:38
1. North Central,31. Plateau,3112. MIKANG,2. Rural,350,310086,20,14768.700968045938,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,2. NO,1,0,1,0,0,1,1,0,0,0,0,0,0,,2. NO,0,1,1,0,0,0,0,,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,1. YES,4,7,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. Higher,,,,1. YES,,,,,,,,,2. NO,2. NO,2. NO,4. Not worried at all,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,2. PIDGIN,,0,2020-04-28T09:08:31
1. North Central,31. Plateau,3112. MIKANG,2. Rural,350,310087,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-04-29T17:55:50
1. North Central,31. Plateau,3112. MIKANG,2. Rural,350,310089,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-12T04:33:22
1. North Central,31. Plateau,3112. MIKANG,2. Rural,350,310090,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-04T15:00:24
1. North Central,31. Plateau,3116. SHENDAM,2. Rural,1344,310091,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-04T08:19:09
1. North Central,31. Plateau,3116. SHENDAM,2. Rural,1344,310094,12,24213.98779592885,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,0,0,0,1,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,1. YES,4,5,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. Higher,,,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,3. HAUSA,,0,2020-04-28T11:05:23
1. North Central,31. Plateau,3116. SHENDAM,2. Rural,1344,310095,19,12863.590783171589,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,0,0,0,1,1,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,1,0,0,0,0,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,4. DUE TO MOVEMENT RESTRICTIONS,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,1. YES,2. NO,1. BANK/MONEY AGENT WAS CLOSED,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,1. YES,,,,,,,,,1. YES,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,3. HAUSA,,0,2020-05-01T13:02:49
1. North Central,31. Plateau,3116. SHENDAM,2. Rural,1344,310097,16,35011.50512664715,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,0,0,0,0,0,1,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. YES,1. YES,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,2. NO,1,0,0,0,0,0,0,,1. YES,1. YES,1. YES,1. Very worried,4. Not a threat at all,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,4,1. ENGLISH,,0,2020-05-11T20:30:25
