zone,state,lga,sector,ea,hhid,interviewer_id,wt_round3,wt_r3panel,s2q0a,s2q0b,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q1c,s5q1d,s5q1e,s5q2,s5q3,s5q4,s5q4_os,filter2,s5q3a,s5q3b,s5q3c__1,s5q3c__2,s5q3c__3,s5q3c__4,s5q3c__5,s5q3c__6,s5q3c__96,s5q3c_os,s5q3d,s5q3e,s5q3f__1,s5q3f__2,s5q3f__3,s5q3f__4,s5q3f__96,s5q3f_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q11,s5q12,s5q13__1,s5q13__2,s5q13__3,s5q13__4,s5q13__96,s5q13_os,s5q13a,s5q13b__1,s5q13b__2,s5q13b__3,s5q13b__96,s5q13b_os,s5q14,s5q15,s5q16,s5q17__1,s5q17__2,s5q17__3,s5aq1,s5aq2,s5aq2_os,s5aq3__1,s5aq3__2,s5aq3__3,s5aq3__4,s5aq3__5,s5aq3__6,s5aq3__7,s5aq3__8,s5aq3__9,s5aq3__10,s5aq3__11,s5aq3__12,s5aq3__96,s5aq3_os,s5aq4,s5aq5,s5aq6a,s5aq6b,s5aq7__1,s5aq7__2,s5aq7__3,s5aq7__4,s5aq7__96,s5aq7_os,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8f__1,s6q8f__2,s6q8f__3,s6q8f__4,s6q8f__5,s6q8f__6,s6q8f__7,s6q8f__8,s6q8f__96,s6q8f_os,s6q8g,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11c,s6q12,s6q13,s6q14,s6q14_os,s6q15a,s6q15b,s6q16a,s6aq1,s6aq1b,s6q2a,s6q2b,s6q2c,s6q2d,s6q2e,s6aq3a,s6aq4__1,s6aq4__2,s6aq4__3,s6aq4__4,s6aq4__5,s6aq4__6,s6aq4__96,s6aq4_os,s6aq3b,s6aq5__1,s6aq5__2,s6aq5__3,s6aq5__4,s6aq5__5,s6aq5__6,s6aq5__96,s6aq5_os,s6aq3c,s6aq6__1,s6aq6__2,s6aq6__3,s6aq6__4,s6aq6__5,s6aq6__6,s6aq6__96,s6aq6_os,s6aq3d,s6aq7__1,s6aq7__2,s6aq7__3,s6aq7__4,s6aq7__5,s6aq7__96,s6aq7_os,s6aq3e,s6aq8__1,s6aq8__2,s6aq8__3,s6aq8__4,s6aq8__5,s6aq8__96,s6aq8_os,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,filter,s12q4a,s12q4b,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,8088.430054147019,8383.025986969476,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,1,0,2. NO,,,,,,,,1. All of the time,1. All of the time,2. TWO,1. YES,1. YES,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,0,0,1,0,1,0,,1. YES,1. YES,,,,,,,1. YES,0,1,1,0,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,2. RENTED,4. WITHIN THE NEXT 4 TO 6 MONTHS,,1. YES,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,selling of akara and akamu,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,96. OTHER (SPECIFY),dueto weather rainy season,1. YES,2,1. YES,,1,2. NO,1. YES,2. NO,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,2. NO,0,0,0,0,0,1,cheated you people,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,2. NO,1. AT THIS NUMBER,,1. COMPLETE,2,5. IGBO,,,0,2020-07-14T18:44:59
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,1,7473.717019058906,7991.680257056842,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,4. Some of the time,4. Some of the time,1. ONE,1. YES,2. NO,1. LACK OF MONEY,,2. NO,,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,,,,1. YES,2. NO,0,0,0,1,0,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,5. WITHIN THE NEXT 7 TO 12 MONTHS,,2. NO,1,0,0,0,0,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,"the respondent said that she normally sale from her production, is not a non-farm business.","5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,2,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,0,1. YES,,,1. COMPLETE,2,1. ENGLISH,,,0,2020-07-14T09:04:47
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,6,11391.227506544921,12280.767597429953,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,2. TWO,2. NO,,,,2. NO,,,,,,,,,,,1. YES,2. NO,0,0,0,1,0,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,13,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,,,,,,,,,,2. NO,0,1,0,0,1,0,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,13,5. IGBO,,,0,2020-07-10T18:37:51
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,2,3597.933728677543,3547.537031250152,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,1,1,2. NO,,,,,,,,1. All of the time,1. All of the time,2. TWO,1. YES,1. YES,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,0,0,1,1,staying longer inside vehicle,1. YES,1. OFFICIAL/BUSINESS,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,2. NO,1. YES,1. YES,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,5. IGBO,,,0,2020-07-13T20:22:10
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,15,5533.016236770989,5607.584580126203,2. NO,2. NO,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. Most of the time,2. Most of the time,1. ONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,0,0,1,0,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),1. YES,,,,32,1. More hours,0,0,0,1,1,0,0,0,0,,3. Sometimes follow and sometimes don't follow,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT","2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,0,0,0,1. YES,,,1. COMPLETE,2,1. ENGLISH,,,0,2020-07-10T10:26:59
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,2,5730.998515882226,6073.378417934208,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,1. YES,1. YES,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,buying and selling of pap,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,1. YES,2,1. YES,,1,2. NO,2. NO,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,5. IGBO,,,0,2020-07-11T12:45:23
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,3. REFUSED,,,,,,2020-07-08T11:20:40
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10094,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,3. REFUSED,,,,,,2020-07-14T19:35:55
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,6,6788.020506202886,7318.096512019458,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,1,0,0,0,0,0,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,2. NO,0,0,0,0,1,cant use my catd to call them,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,5,2. NO,1. YES,2. NO,1. YES,2. NO,,,,,,,,,,2. NO,0,0,0,0,1,0,0,,,,,,,,,,,2. NO,0,0,0,0,1,0,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,5,1. ENGLISH,,,0,2020-07-11T14:45:01
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,15,12981.807774354502,13456.188736886523,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,2. Most of the time,1. ONE,2. NO,,,,1. YES,1. YES,2. NO,0,0,0,0,0,0,1,No awareness,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,4. As an employee for a private company or another individual (not household member),1. YES,,,,54,2. Same number of hours,0,1,0,0,0,0,0,0,0,,4. Mostly follow,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,,,,,,,,,,,1. YES,,4,1. YES,2. NO,1. YES,1. YES,2. NO,2. NO,1,0,0,0,0,1,0,,,,,,,,,,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,1,0,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,4,5. IGBO,,,0,2020-07-08T11:39:31
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,15,10548.656089437978,11830.665563955032,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,2. Most of the time,1. ONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,1,1,1,1,0,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,4. CONSTRUCTION,1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,Maison man,4. CONSTRUCTION,3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,,1. YES,,2,2. NO,2. NO,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,2,5. IGBO,,,0,2020-07-10T07:50:47
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,2,14558.58048119504,15983.566930436145,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,1,0,2. NO,,,,,,,,1. All of the time,1. All of the time,3. THREE,1. YES,1. YES,,,1. YES,1. YES,2. NO,0,0,0,0,1,0,0,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,0,0,1,0,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,1,0,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,96. OTHER (SPECIFY),lack of capital,buying and selling fruits and food stuff.,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,4,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,0,0,0,0,0,1,0,,2. NO,1,0,0,0,0,0,0,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,2. NO,1. AT THIS NUMBER,,1. COMPLETE,3,5. IGBO,,,1,2020-07-07T18:24:28
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,15,7326.702550488032,7357.027812364267,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,2. NO MEDICAL PERSONNEL AVAILABLE,,1. YES,1. YES,2. NO,0,0,0,0,1,0,0,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,1,0,0,1,0,0,,1. YES,1. YES,,,,,,,1. YES,0,1,1,0,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,2. RENTED,1. RENT ALREADY DUE,"1. YES, IN FULL",,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"2. MINING, MANUFACTURING",1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,Soap production,"2. MINING, MANUFACTURING",2. The same,,,2. NO,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,0,1,0,0,0,1. YES,,,1. COMPLETE,1,5. IGBO,,,1,2020-07-14T10:08:15
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,2,9616.637278721939,9165.217343990564,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,4. Some of the time,4. Some of the time,1. ONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,2. RENTED,4. WITHIN THE NEXT 4 TO 6 MONTHS,,1. YES,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,buying and selling of provision,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,5. IGBO,,,0,2020-07-10T16:22:02
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,2,8913.617692598393,8594.703109346934,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,1,0,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,1. YES,1. YES,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,0,1,0,0,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,2. WITHIN ONE MONTH,,2. NO,1,1,1,0,1,no job,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,keke business,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. Higher,,,2. NO,,1. YES,,1,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,2. NO,1. AT THIS NUMBER,,1. COMPLETE,2,5. IGBO,,,0,2020-07-13T10:50:15
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,2,10023.438724821186,11788.40714681572,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,1,0,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,2. WITHIN ONE MONTH,,2. NO,1,1,0,0,0,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),lack of capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,frying of patotoes and akara,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",4. No revenue from sales,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,5. IGBO,,,0,2020-07-08T13:22:15
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,6,10280.688236951872,,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,1. YES,1. OFFICIAL/BUSINESS,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,2. RENTED,2. WITHIN ONE MONTH,,1. YES,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,,,,,,,1. YES,4,,,,,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT ROUND 2,,1. Open,,,buying and selling of okirika clothes,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT","3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,1,0,0,0,1,1. YES,,,1. COMPLETE,1,5. IGBO,,,0,2020-07-18T18:53:51
