zone,state,lga,sector,ea,hhid,indiv,wt_educ_r6,wt_educ_r6_pp_panel,wt_educ_r6_ph_panel,s5cq10,s5cq10a,s5cq11,s5cq12,s5cq12_os,s5cq12a,s5cq13a,s5cq13,s5cq13_os,s5cq14,s5cq14_os,s5cq15,s5cq16,s5cq17,s5cq17a,s5cq18,s5cq19,s5cq19_os,s5cq20,s5cq20_os,s5cq21
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269082,102,9025.195048447102,,,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,21. JS1,,6. PRIVATE,,2. NO
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269082,103,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269082,501,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269083,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269083,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269083,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269083,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269083,5,5871.439665854377,8319.77056039155,8049.724769954971,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,21. JS1,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269083,101,5481.494751333478,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,23. JS3,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269083,102,4877.759749056922,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,16. PRIMARY 6,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269083,401,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269084,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269084,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269084,3,5393.736716851136,7642.870318217118,7394.795573690742,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,23. JS3,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269084,4,6363.527117027296,7091.616560272793,7028.966539534127,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,21. JS1,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269084,5,5054.906130420754,7496.026046312792,7259.334519303905,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269084,6,5393.736716851136,7642.870318217118,7394.795573690742,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,21. JS1,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2624. TAFA,2. Rural,118,269084,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2620. RAFI,2. Rural,590,269089,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2620. RAFI,2. Rural,590,269089,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2620. RAFI,2. Rural,590,269089,4,5540.364192759751,6174.27061074138,6119.72477080186,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2620. RAFI,2. Rural,590,269089,5,3901.2695795401883,5832.048283125835,5218.962894422808,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2620. RAFI,2. Rural,590,269089,6,4961.301536822482,6196.256799967106,6215.798085438287,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
1. North Central,26. Niger,2620. RAFI,2. Rural,590,269089,501,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2620. RAFI,2. Rural,590,269089,601,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2602. AGWARA,2. Rural,118,269106,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2602. AGWARA,2. Rural,118,269106,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2602. AGWARA,2. Rural,118,269106,3,32458.76038665958,39828.8858798273,36550.145994651175,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,15. PRIMARY 5,,2. STATE GOVERNMENT,,2. NO
1. North Central,26. Niger,2602. AGWARA,2. Rural,118,269106,4,20787.6381526337,29455.87279524358,28499.784596145877,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,12. PRIMARY 2,,2. STATE GOVERNMENT,,2. NO
1. North Central,26. Niger,2602. AGWARA,2. Rural,118,269106,301,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2602. AGWARA,2. Rural,118,269106,501,,,,2. NO,,,,,,,,,,,,,,,,,,,,
1. North Central,26. Niger,2602. AGWARA,2. Rural,118,269106,502,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270001,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270001,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270001,3,1925.5726553516247,3127.4520017490786,3444.6434564039637,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,23. JS3,,6. PRIVATE,,"1. YES, EVERY DAY",,,1. YES,1. YES,22. JS2,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270001,4,3886.0495230306615,5870.033302660098,5679.1465988369455,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,16. PRIMARY 6,,6. PRIVATE,,"1. YES, EVERY DAY",,,1. YES,1. YES,15. PRIMARY 5,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270001,6,5477.286676599354,7062.027179475095,7120.069318527945,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,11. PRIMARY 1,,6. PRIVATE,,"1. YES, EVERY DAY",,,1. YES,1. YES,3. NURSERY 3,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270003,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270003,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270003,6,3501.112266360539,5288.570173408461,5116.591979028899,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,23. JS3,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,22. JS2,,2. STATE GOVERNMENT,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270004,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270004,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270004,5,3062.4075080369853,,4815.073781104236,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,26. SS3,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270005,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270005,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270005,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270005,5,4588.403293223722,7044.515409281579,7214.422096455706,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,26. SS3,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270005,7,5248.0129322422235,7435.556945918683,7349.755477377791,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,13. PRIMARY 3,,6. PRIVATE,,"1. YES, EVERY DAY",,,1. YES,1. YES,12. PRIMARY 2,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270005,101,4691.446018052021,,,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,23. JS3,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,22. JS2,,2. STATE GOVERNMENT,,2. NO
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270005,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270006,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270006,5,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270006,10,2632.290130025093,4724.230688569272,3549.4645509105335,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,13. PRIMARY 3,,6. PRIVATE,,3. NO,,2. NO,1. YES,1. YES,12. PRIMARY 2,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270006,11,3346.593902790074,5055.1640022684205,4890.7759070184,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,14. PRIMARY 4,,6. PRIVATE,,3. NO,,2. NO,1. YES,1. YES,13. PRIMARY 3,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270006,12,3725.0947064458055,5070.917501578689,5076.710491386201,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,22. JS2,,6. PRIVATE,,3. NO,,2. NO,1. YES,1. YES,21. JS1,,6. PRIVATE,,2. NO
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270006,101,4167.0191062694785,,,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,13. PRIMARY 3,,6. PRIVATE,,3. NO,,1. YES,1. YES,1. YES,12. PRIMARY 2,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270006,102,1723.2879384952598,,,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,16. PRIMARY 6,,1. FEDERAL GOVERNMENT,,3. NO,,2. NO,1. YES,1. YES,15. PRIMARY 5,,1. FEDERAL GOVERNMENT,,2. NO
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,506,270006,601,3725.0947064458055,,,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,22. JS2,,6. PRIVATE,,3. NO,,2. NO,1. YES,1. YES,21. JS1,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270010,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270010,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270010,3,4878.312946686686,6911.753873975979,6831.996750616732,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,15. PRIMARY 5,,6. PRIVATE,,3. NO,,2. NO,1. YES,1. YES,14. PRIMARY 4,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270010,4,4108.81580948146,7374.184752440594,5540.459197723841,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,12. PRIMARY 2,,6. PRIVATE,,3. NO,,2. NO,1. YES,1. YES,11. PRIMARY 1,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270010,5,7362.801200918821,9493.076639589583,9571.09934615121,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,2. NURSERY 2,,6. PRIVATE,,3. NO,,2. NO,1. YES,1. YES,1. NURSERY 1,,6. PRIVATE,,2. NO
6. South West,27. Ogun,2701. ABEOKUTA NORTH,1. Urban,0,270010,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2715. OBAFEMI-OWODE,1. Urban,0,270029,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2715. OBAFEMI-OWODE,1. Urban,0,270029,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2715. OBAFEMI-OWODE,1. Urban,0,270029,401,41551.07454588764,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,14. PRIMARY 4,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
6. South West,27. Ogun,2715. OBAFEMI-OWODE,1. Urban,0,270029,402,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270041,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270041,4,3242.0952357778756,4506.731289647522,3850.4653521220844,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,24. SS1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,23. JS3,,2. STATE GOVERNMENT,,1. YES
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270041,5,8201.188297592367,10212.326131609376,9676.804629888355,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,12. PRIMARY 2,,6. PRIVATE,,"1. YES, EVERY DAY",,,1. YES,1. YES,11. PRIMARY 1,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270042,5,6434.99815030888,9095.184214948502,7848.219887938097,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,24. SS1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,2. NO,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270042,6,4173.660254583447,7011.753825581742,6297.962832050032,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,21. JS1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,15. PRIMARY 5,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270042,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270042,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270042,9,4173.660254583447,7011.753825581742,6297.962832050032,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,14. PRIMARY 4,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,1. YES,1. YES,13. PRIMARY 3,,5. RELIGIOUS BODY,,1. YES
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270042,11,4530.1175534356735,6462.157981308264,5504.991327303021,1. YES,1. YES,2. NO,3. HAD ENOUGH/COMPLETED SCHOOLING,,,,,,,,,,,2. NO,2. NO,,,,,
6. South West,27. Ogun,2714. IPOKIA,1. Urban,0,270046,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2714. IPOKIA,1. Urban,0,270046,301,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2714. IPOKIA,1. Urban,0,270046,302,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2714. IPOKIA,1. Urban,0,270046,303,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2714. IPOKIA,1. Urban,0,270046,304,3817.4113294924755,,,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,2. NO,,,,,
6. South West,27. Ogun,2714. IPOKIA,1. Urban,0,270046,305,3903.1397278140093,,,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,26. SS3,,6. PRIVATE,,"1. YES, EVERY DAY",,,1. YES,1. YES,25. SS2,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,4,26171.198716405353,40413.99226573225,36037.95343527165,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,25. SS2,,2. STATE GOVERNMENT,,3. NO,,2. NO,1. YES,1. YES,24. SS1,,2. STATE GOVERNMENT,,2. NO
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,5,17893.858662872957,24873.671765891635,21251.59126629753,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,24. SS1,,4. COMMUNITY,,3. NO,,2. NO,1. YES,1. YES,23. JS3,,4. COMMUNITY,,2. NO
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,6,17893.858662872957,24873.671765891635,21251.59126629753,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,14. PRIMARY 4,,4. COMMUNITY,,3. NO,,2. NO,1. YES,1. YES,13. PRIMARY 3,,4. COMMUNITY,,2. NO
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,7,17375.39381425139,25292.38323794049,22016.517635412798,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,14. PRIMARY 4,,4. COMMUNITY,,3. NO,,2. NO,1. YES,1. YES,13. PRIMARY 3,,4. COMMUNITY,,2. NO
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,9,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,11,17375.39381425139,25292.38323794049,22016.517635412798,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,13. PRIMARY 3,,4. COMMUNITY,,3. NO,,2. NO,1. YES,1. YES,12. PRIMARY 2,,4. COMMUNITY,,2. NO
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,12,17375.39381425139,25292.38323794049,22016.517635412798,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,11. PRIMARY 1,,4. COMMUNITY,,3. NO,,2. NO,1. YES,1. YES,2. NURSERY 2,,4. COMMUNITY,,2. NO
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,13,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,14,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2712. IKENNE,2. Rural,110,270047,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270053,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270053,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270053,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270053,4,2164.382525526192,3322.948110329852,3403.0943052453727,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,26. SS3,,2. STATE GOVERNMENT,,1. YES
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270056,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270056,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270056,6,2030.2578041204827,3066.785652767083,2967.0573251060523,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,22. JS2,,1. FEDERAL GOVERNMENT,,3. NO,,2. NO,1. YES,1. YES,21. JS1,,1. FEDERAL GOVERNMENT,,2. NO
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270056,7,3907.230842728053,4265.105801605249,4256.3200768995,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,12. PRIMARY 2,,1. FEDERAL GOVERNMENT,,3. NO,,2. NO,1. YES,1. YES,11. PRIMARY 1,,1. FEDERAL GOVERNMENT,,1. YES
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270056,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270059,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270059,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270059,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2711. IJEBU-ODE,1. Urban,710,270059,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270065,9,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270065,10,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,0,270066,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,0,270066,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,0,270068,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,0,270068,301,1087.9843344496633,,,1. YES,1. YES,2. NO,3. HAD ENOUGH/COMPLETED SCHOOLING,,,,,,,,,,,2. NO,1. YES,22. JS2,,6. PRIVATE,,2. NO
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,0,270068,302,1672.965034323549,,,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,22. JS2,,6. PRIVATE,,"1. YES, EVERY DAY",,,1. YES,1. YES,21. JS1,,6. PRIVATE,,2. NO
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,0,270068,303,1672.965034323549,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,14. PRIMARY 4,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,0,270068,304,2003.9704500810396,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270069,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270069,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270069,3,1508.5202947576818,2137.321058573007,2112.657770146496,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,13. PRIMARY 3,,6. PRIVATE,,3. NO,,2. NO,1. YES,1. YES,12. PRIMARY 2,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270069,4,2276.798384858852,2935.543276336406,2959.670231205113,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,11. PRIMARY 1,,6. PRIVATE,,3. NO,,2. NO,1. YES,1. YES,2. NURSERY 2,,6. PRIVATE,,1. YES
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270069,5,1059.5895,1376.306,1332.509,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,23. JS3,,1. FEDERAL GOVERNMENT,,3. NO,,2. NO,1. YES,1. YES,22. JS2,,1. FEDERAL GOVERNMENT,,1. YES
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270069,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270069,7,1059.5895,,1332.509,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,26. SS3,,1. FEDERAL GOVERNMENT,,1. YES
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270070,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270070,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270070,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270070,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1612,270070,5,2685.2957917949166,3655.454290589203,3659.630262578614,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,22. JS2,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1076,270091,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1076,270091,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1076,270091,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
6. South West,27. Ogun,2703. ADO-ODO/OTA,1. Urban,1076,270091,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
