zone,state,lga,sector,ea,hhid,source_cd,source_cd_os,s7q1,s7q2
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239148,8. PENSION,,1. YES,2. Stayed the same
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239148,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239148,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239148,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239148,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,2. NON-FARM FAMILY BUSINESS,,1. YES,2. Stayed the same
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,8. PENSION,,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2313. OFFA,1. Urban,382,239150,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,8. PENSION,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239156,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,8. PENSION,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239158,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,8. PENSION,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239161,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,8. PENSION,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2314. OKE-ERO,2. Rural,354,239165,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,1. Increased
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,8. PENSION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239168,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,1. Increased
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,2. Stayed the same
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,8. PENSION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239170,99. TOTAL HOUSEHOLD INCOME,,,1. Increased
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,3. Reduced
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,8. PENSION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239171,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,1. Increased
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,8. PENSION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,614,239176,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,8. PENSION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2316. PATIGI,2. Rural,1442,239187,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,8. PENSION,,2. NO,
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2305. IFELODUN (KWARA),2. Rural,174,239199,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,8. PENSION,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239204,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,8. PENSION,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2308. ILORIN WEST,1. Urban,5126,239205,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,8. PENSION,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),1. Urban,1224,239209,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,8. PENSION,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,96. OTHER (SPECIFY),footballer / beauty industry,1. YES,3. Reduced
1. North Central,23. Kwara,2309. IREPODUN (KWARA),2. Rural,1574,239210,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,2. NON-FARM FAMILY BUSINESS,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,8. PENSION,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,96. OTHER (SPECIFY),,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239211,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239219,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239219,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239219,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239219,4. REMITTANCES FROM ABROAD,,2. NO,
1. North Central,23. Kwara,2311. KAIAMA,2. Rural,1600,239219,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
